UserCode,BusinessName,Address,City,State,Site Zip,Latitude,Longitude
1742753,,101 W MISSION BLVD,POMONA,CA,91766-1711,34.055369,-117.75056
1742754,,10355 SLUSHER DR,SANTA FE SPRINGS,CA,90670-7353,33.942617,-118.078353
1742755,,10621 SHOEMAKER AVE,SANTA FE SPRINGS,CA,90670-4038,33.938133,-118.055424
1742756,,11012 GARFIELD AVE,SOUTH GATE,CA,90280-7504,33.927081,-118.167592
1742757,,1105 HIGHLAND AVE,DUARTE,CA,91010-2549,34.140713,-117.966981
1742758,,11080 W OLYMPIC BLVD,LOS ANGELES,CA,90064-1937,34.04027,-118.437386
1742759,,11110 W PICO BLVD,LOS ANGELES,CA,90064-1709,34.036393,-118.435322
1742760,,11258 GARFIELD AVE,DOWNEY,CA,90242-4007,33.924983,-118.168915
1742761,,11543 COLIMA RD,WHITTIER,CA,90604-2832,33.925774,-118.024334
1742762,,11949 ALONDRA BLVD,NORWALK,CA,90650-7108,33.88788,-118.078871
1742763,,12 CREST RD W,ROLLING HILLS,CA,90274-5058,33.756673,-118.354099
1742764,,12440 FIRESTONE BLVD,NORWALK,CA,90650-4328,33.904916,-118.068407
1742765,,1252 ENCINAL CANYON RD,MALIBU,CA,90265-2407,34.084373,-118.866154
1742766,,12727 NORWALK BLVD,NORWALK,CA,90650-3145,33.91493,-118.073025
1742767,,17201 ELIZABETH LAKE RD,LAKE HUGHES,CA,93532-1024,34.674593,-118.435678
1742768,,12750 CENTER COURT DR S,CERRITOS,CA,90703-8581,33.867621,-118.06047
1742769,,12801 CROSSROADS PKWY S,CITY OF INDUSTRY,CA,91746-3502,34.029403,-118.024602
1742770,,12851 CROSSROADS PKWY S,CITY OF INDUSTRY,CA,91746-3412,34.02968,-118.021994
1742771,,12860 CROSSROADS PKWY S,CITY OF INDUSTRY,CA,91746-3411,34.028252,-118.024341
1742772,,1301 BUENA VISTA ST,DUARTE,CA,91010-2410,34.138142,-117.977987
1742773,,1317 15TH ST,SANTA MONICA,CA,90404-1801,34.025994,-118.485555
1742774,,1320 HIGHLAND AVE,MANHATTAN BEACH,CA,90266-4720,33.886866,-118.410368
1742775,,13300 VAN NUYS BLVD,PACOIMA,CA,91331-3004,34.265119,-118.422928
1742776,,13575 MINDANAO WAY,MARINA DEL REY,CA,90292-6948,33.97934,-118.4414
1742777,,13650 MINDANAO WAY,MARINA DEL REY,CA,90292-6964,33.977391,-118.439088
1742778,,13671 TELEGRAPH RD,WHITTIER,CA,90604-2423,33.936136,-118.039722
1742779,,955 OVERLAND CT,SAN DIMAS,CA,91773-1746,34.110628,-117.825586
1742780,,1040 W AVENUE J,LANCASTER,CA,93534-3329,34.688428,-118.149659
1742781,,13800 LA MIRADA BLVD,LA MIRADA,CA,90638-3029,33.905239,-118.011658
1742782,,13811 DEL SUR ST,SAN FERNANDO,CA,91340-3440,34.276583,-118.434019
1742783,,13820 LA MIRADA BLVD,LA MIRADA,CA,90638-3029,33.905076,-118.011344
1742784,,13837 FIJI WAY,MARINA DEL REY,CA,90292-6910,33.971317,-118.445793
1742785,,1401 E WILLOW ST,SIGNAL HILL,CA,90755-3543,33.804718,-118.173865
1742786,,14149 BUCHER AVE,SYLMAR,CA,91342-1442,34.327502,-118.444455
1742787,,14445 OLIVE VIEW DR,SYLMAR,CA,91342-1437,34.324374,-118.448376
1742788,,145 N WALNUT AVE,SAN DIMAS,CA,91773-2603,34.108039,-117.803201
1742789,,17707 STUDEBAKER RD,CERRITOS,CA,90703-2640,33.86998,-118.099428
1742790,,1822 DECKER CANYON RD,MALIBU,CA,90265-2321,34.077278,-118.880281
1742791,,18801 ELAINE AVE,ARTESIA,CA,90701-5867,33.860412,-118.078794
1742792,,18928 COLIMA RD,ROWLAND HEIGHTS,CA,91748-2941,33.986688,-117.891041
1742793,,1900 RAMBLA PACIFICO,MALIBU,CA,90265-3039,34.061611,-118.647783
1742794,,1955 WORKMAN MILL RD,WHITTIER,CA,90601-1415,34.033019,-118.022001
1742795,,2040 W HOLT AVE,POMONA,CA,91768-3307,34.061079,-117.786687
1742796,,21155 LA PUENTE RD,WALNUT,CA,91789-2017,34.026001,-117.84369
1742797,,21800 COPLEY DR,DIAMOND BAR,CA,91765-4460,33.999188,-117.83066
1742798,,2255 N GAREY AVE,POMONA,CA,91767-2330,34.089178,-117.7499
1742799,,2300 OCEAN FRONT WALK,VENICE,CA,90291-4317,33.980898,-118.46903
1742800,,23000 PACIFIC COAST HWY,MALIBU,CA,90265-4936,34.037113,-118.676717
1742801,,231 W MOUNTAIN VIEW AVE,GLENDORA,CA,91741-3302,34.137784,-117.867658
1742802,,233 N MACLAY AVE,SAN FERNANDO,CA,91340-2908,34.285839,-118.438369
1742803,,23519 CIVIC CENTER WAY,MALIBU,CA,90265-4804,34.036575,-118.68828
1742804,,2509 PICO BLVD,SANTA MONICA,CA,90405-1828,34.023204,-118.463378
1742805,,251 E AVENUE K6,LANCASTER,CA,93535-4513,34.669973,-118.126429
1742806,,260 E AVENUE K8,LANCASTER,CA,93535-4527,34.667034,-118.125794
1742807,,27413 INDIAN PEAK RD,ROLLING HILLS ESTATES,CA,90274-3555,33.772125,-118.376368
1742808,,300 E AVENUE K6,LANCASTER,CA,93535-4504,34.669034,-118.125794
1742809,,300 PARK AVE,SAN FERNANDO,CA,91340,34.281677,-118.433527
1742810,,30050 PACIFIC COAST HWY,MALIBU,CA,90265-3601,34.021602,-118.829958
1742811,,30100 PACIFIC COAST HWY,MALIBU,CA,90265-3636,34.022267,-118.830518
1742812,,3205 N LAKEWOOD BLVD,LONG BEACH,CA,90808-1733,33.815747,-118.140182
1742813,,32550 PACIFIC COAST HWY,MALIBU,CA,90265-2532,34.03993,-118.883638
1742814,,330 W MAPLE AVE,MONROVIA,CA,91016-3332,34.141221,-118.006108
1742815,,3300 SANDOVAL AVE,PICO RIVERA,CA,90660-1441,34.018117,-118.062301
1742816,,3325 W TEMPLE AVE,POMONA,CA,91768-3256,34.046308,-117.808283
1742817,,335 E AVENUE K6,LANCASTER,CA,93535-4645,34.66987,-118.125474
1742818,,340 PALOS VERDES DR W,PALOS VERDES ESTATES,CA,90274-1270,33.799932,-118.391463
1742820,,360 E MISSION BLVD,POMONA,CA,91766-1847,34.054891,-117.747312
1742821,,3620 VISTA PACIFICA,MALIBU,CA,90265-5489,34.037022,-118.698057
1742822,,3625 THE STRAND,MANHATTAN BEACH,CA,90266-3243,33.89993,-118.419679
1742823,,3701 E WILLOW ST,LONG BEACH,CA,90815-1732,33.805396,-118.149335
1742824,,3960 S CENTINELA AVE,LOS ANGELES,CA,90066-4905,34.001622,-118.430316
1742825,,401 N 2ND AVE,COVINA,CA,91723-1644,34.089401,-117.887998
1742826,,415 E AVENUE I,LANCASTER,CA,93535,34.704202,-118.123237
1742827,,4181 BALDWIN PARK BLVD,BALDWIN PARK,CA,91706-3203,34.087995,-117.965298
1742828,,42110 6TH ST W,LANCASTER,CA,93534-7112,34.64806,-118.140774
1742829,,42281 10TH ST W,LANCASTER,CA,93534-7073,34.650737,-118.148382
1742830,,3179 W TEMPLE AVE,POMONA,CA,91768-3241,34.045223,-117.803749
1742831,,44720 YUCCA AVE,LANCASTER,CA,93534-3203,34.695632,-118.134351
1742832,,44900 60TH ST W,LANCASTER,CA,93536-7618,34.697701,-118.236516
1742833,,44947 DATE AVE,LANCASTER,CA,93534-2401,34.699526,-118.141424
1742834,,4510 E PACIFIC COAST HWY,LONG BEACH,CA,90804-3279,33.787436,-118.140859
1742835,,4701 ADMIRALTY WAY,MARINA DEL REY,CA,90292-6904,33.979511,-118.440246
1742836,,5040 W AVENUE M2,QUARTZ HILL,CA,93536-3019,34.643112,-118.21963
1742837,,5050 COMMERCE DR,BALDWIN PARK,CA,91706-1423,34.103143,-117.974511
1742838,,516 N BROADWAY,REDONDO BEACH,CA,90277-2101,33.847717,-118.391685
1742839,,5200 IRWINDALE AVE,IRWINDALE,CA,91706-2097,34.107571,-117.933523
1742840,,5210 W AVENUE I,LANCASTER,CA,93536-8310,34.703719,-118.223203
1742841,,5525 IMPERIAL HWY,SOUTH GATE,CA,90280-7417,33.93091,-118.17379
1742842,,6124 PALOS VERDES DR S,RANCHO PALOS VERDES,CA,90275-5935,33.744778,-118.38458
1742843,,615 ANITA ST,REDONDO BEACH,CA,90278-4704,33.856454,-118.38443
1742844,,750 S PARK AVE,POMONA,CA,91766-3129,34.052739,-117.753988
1742845,,7804 THORNLAKE AVE,WHITTIER,CA,90606-2312,33.973497,-118.066686
1742846,,801 CORPORATE CENTER DR,POMONA,CA,91768-2628,34.064862,-117.801784
1742847,,840 N PUENTE AVE,LA PUENTE,CA,91746,34.055036,-117.977224
1742848,,8511 DUCHESS DR,WHITTIER,CA,90606-3335,33.964619,-118.073353
1742849,,9525 IMPERIAL HWY,DOWNEY,CA,90242-3009,33.917242,-118.124361
1742850,,9830 NORWALK BLVD,SANTA FE SPRINGS,CA,90670-2983,33.948451,-118.071108
1742851,,9945 FLOWER ST,BELLFLOWER,CA,90706-5438,33.882195,-118.121821
1742852,,16300 PACIFIC COAST HWY,PACIFIC PALISADES,CA,90272,34.038213,-118.541342
1742853,,17021 ELIZABETH LAKE RD,LAKE HUGHES,CA,93532-1228,34.673629,-118.430813
1742854,,1703 S MOUNTAIN AVE,MONROVIA,CA,91016-4256,34.132978,-117.987625
1742855,,17171 GALE AVE,CITY OF INDUSTRY,CA,91745-1822,34.000853,-117.931313
1742856,,2600 REDONDO AVE,LONG BEACH,CA,90806-2325,33.804894,-118.150732
1742858,,11282 GARFIELD AVE,DOWNEY,CA,90242-4007,33.923471,-118.168036
1742859,,743 ESPLANADE,REDONDO BEACH,CA,90277-4634,33.830443,-118.389776
1742860,,7643 PAINTER AVE,WHITTIER,CA,90602-2358,33.972273,-118.033186
1742862,,1444 W GARVEY AVE S,WEST COVINA,CA,91790-2716,34.071383,-117.938848
1742864,,10612 SHOEMAKER AVE,SANTA FE SPRINGS,CA,90670-4044,33.937848,-118.055128
1742865,,16005 CENTRAL AVE,LA PUENTE,CA,91744-5413,34.019186,-117.949782
1742866,,42455 10TH ST W,LANCASTER,CA,93534-7060,34.654371,-118.14839
